date,cpi_yoy,remittances,pkr_usd,cpi_yoy_diff,remittances_diff,pkr_usd_diff,remittances_diff2
2020-10-31,8.91,2284.10714,162.799992,-0.11999999999999922,-0.04007034467177206,-1.8586027528101567,-8.66438729304928
2020-11-30,8.35,2332.147257,159.21225,-0.5600000000000005,2.0814213095748713,-2.2284186742211887,2.1214916542466433
2020-12-31,7.98,2421.721535,160.079514,-0.3699999999999992,3.7689252637282955,0.5432436602682778,1.6875039541534242
2021-01-31,5.7,2268.742601,160.153552,-2.2800000000000002,-6.525290759981672,0.046240072734526905,-10.294216023709968
2021-02-28,8.7,2260.322735,159.131343,2.999999999999999,-0.37181515723396785,-0.6403137189180619,6.153475602747704
2021-03-31,9.1,2723.218474,156.029765,0.40000000000000036,18.630683711842888,-1.9683127495685682,19.002498869076856
2021-04-30,11.1,2792.557929,153.076852,2.0,2.5143552935658064,-1.9106694396053392,-16.11632841827708
2021-05-31,10.86176628,2506.658351,153.29278,-0.2382337200000002,-10.80074643723119,0.14095916383327634,-13.315101730796997
2021-06-30,9.655669291,2714.234446,156.163793,-1.2060969889999988,7.95594097490282,1.855572398676042,18.75668741213401
2021-07-31,8.405968385,2736.077681,159.601571,-1.249700906000001,0.801544991866443,2.177511676527999,-7.154395983036377
2021-08-31,8.353519783,2682.62743,164.099741,-0.05244860200000012,-1.9728692947339255,2.7793891463229414,-2.7744142866003685
2021-09-30,8.979178716,2779.892769,168.05674,0.6256589330000004,3.561565606818018,2.3827240688936158,5.534434901551943
2021-10-31,9.2,2628.586368,171.694793,0.22082128399999945,-5.596615563471996,2.141678081549614,-9.158181170290014
2021-11-30,11.5,2459.709253,173.025502,2.3000000000000007,-6.640304589983348,0.7720552745236198,-1.0436890265113519
2021-12-31,12.28169814,2520.352433,177.176357,0.7816981399999996,2.4355592987797436,2.370660972254779,9.075863888763092
2022-01-31,12.96243597,2180.433945,176.310845,0.68073783,-14.487483177853733,-0.4897001785234778,-16.923042476633476
2022-02-28,12.24404221,2196.168428,175.482276,-0.7183937599999997,0.7190304007066217,-0.471055562292122,15.206513578560354
2022-03-31,12.7,2834.767043,179.617273,0.45595778999999936,25.524554368389474,2.3290279723609864,24.805523967682852
2022-04-30,13.37790337,3124.369515,184.481334,0.677903370000001,9.72727456109217,2.671996155421219,-15.797279807297304
2022-05-31,13.8,2346.240221,195.500402,0.4220966300000004,-28.64183666506941,5.801414805852012,-38.36911122616158
2022-06-30,21.3,2789.577806,204.367422,7.5,17.30761193859509,4.435702637570493,45.9494486036645
2022-07-31,24.9,2594.295739,219.437089,3.599999999999998,-7.257517210595221,7.11461188912379,-24.565129149190312
2022-08-31,27.3,2815.673902,220.886305,2.400000000000002,8.188654148130237,0.6582531169531336,15.446171358725458
2022-09-30,23.2,2487.225612,230.4658621,-4.100000000000001,-12.403375251094584,4.245463565486851,-20.59202939922482
2022-10-31,26.6,2247.62424,220.57243,3.400000000000002,-10.129411219779794,-4.387662610609144,2.27396403131479
2022-11-30,23.8,2173.036496,222.3104544,-2.8000000000000007,-3.3748268687665117,0.7848726529892325,6.754584351013282
2022-12-31,24.5,2099.787498,224.762406,0.6999999999999993,-3.42893481666362,1.0969022734002465,-0.05410794789710849
2023-01-31,27.6,1900.087935,234.1359524,3.1000000000000014,-9.993598150022542,4.085806887047383,-6.564663333358922
2023-02-28,31.5,1990.345686,266.6764367,3.8999999999999986,4.640816852770158,13.013413614476566,14.6344150027927
2023-03-31,35.4,2536.682781,280.2024795,3.8999999999999986,24.25489005396413,4.947640694648037,19.61407320119397
2023-04-30,36.4,2198.302053,284.9456592,1.0,-14.317196746075656,1.6786009715074712,-38.572086800039784
2023-05-31,38.0,2102.666259,285.4859718,1.6000000000000014,-4.447908173509152,0.18943997219791342,9.869288572566504
2023-06-30,29.4,2187.080838,286.5840653,-8.600000000000001,3.9361517422602965,0.38390224183615373,8.384059915769448
2023-07-31,28.3,2029.041389,281.007205,-1.0999999999999979,-7.500424462027322,-1.9651605181144838,-11.436576204287618
2023-08-31,27.4,2094.507,293.8080564,-0.9000000000000021,3.1754744131577084,4.45463751644759,10.67589887518503
2023-09-30,31.4,2208.130749,297.7541724,4.0,5.282813920847307,1.3341536496560558,2.1073395076895984
2023-10-31,26.8,2463.117162,280.3567571,-4.599999999999998,10.928134413129698,-6.020529658420504,5.645320492282391
2023-11-30,29.2,2258.544029,285.5207225,2.3999999999999986,-8.670731610562132,1.8251684998165096,-19.59886602369183
2023-12-31,29.7,2381.853131,283.2960707,0.5,5.315844046170604,-0.7822072658520973,13.986575656732736
2024-01-31,28.3,2397.870065,280.3206113,-1.3999999999999986,0.6702059218356204,-1.0558548523222022,-4.645638124334983
2024-02-29,23.1,2250.147228,279.1816697,-5.199999999999999,-6.358522165775415,-0.40712726716742864,-7.028728087611036
2024-03-31,20.7,2953.980816,278.7049655,-2.400000000000002,27.215804110076736,-0.1708964818091907,33.57432627585215
2024-04-30,17.3,2813.267052,278.1424501,-3.3999999999999986,-4.8807229896426385,-0.20203580930182596,-32.096527099719374
2024-05-31,11.8,3242.226877,278.2500821,-5.5,14.191394148592718,0.03868923291152626,19.072117138235356
2024-06-30,12.6,3158.138862,278.4387221,0.7999999999999989,-2.6277515064826673,0.06777215772872935,-16.819145655075385
2024-07-31,11.1,2993.99974,278.3912397,-1.5,-5.337268721059729,-0.01705454209455226,-2.709517214577062
2024-08-31,9.6,2942.812184,278.540312,-1.5,-1.7244549815115917,0.05353343803387034,3.6128137395481374
2024-09-30,6.9,2859.516117,278.2436207,-2.6999999999999993,-2.871322868456705,-0.10657323627958348,-1.1468678869451132
2024-10-31,7.2,3054.550962,277.6704048,0.2999999999999998,6.598017654747412,-0.20622473147184905,9.469340523204117
2024-11-30,4.9,2915.348668,277.8093268,-2.3,-4.664317289151754,0.05001874775754089,-11.262334943899166
2024-12-31,4.1,3080.397524,278.1203612,-0.8000000000000007,5.506923057756019,0.11189703991973943,10.171240346907773
2025-01-31,2.4,3003.375873,278.6442633,-1.6999999999999997,-2.5321707888149803,0.1881952378342433,-8.039093846571
2025-02-28,1.5,3126.670931,279.304265,-0.8999999999999999,4.023189120559856,0.23658168249021116,6.555359909374836
2025-03-31,0.7,4053.579523,280.0836116,-0.8,25.963148539932845,0.2786428297252286,21.93995941937299
2025-04-30,0.3,3176.93,281.6662931,-0.39999999999999997,-24.368500192786513,0.5634840965548449,-50.33164873271936
2025-05-31,3.5,3685.588476,281.6662931,3.2,14.851488619122932,0.0,39.219988811909445
2025-06-30,3.2,3406.389361,283.0001359,-0.2999999999999998,-7.877731595746873,0.47243654391406764,-22.729220214869805
2025-07-31,4.1,3214.514462,284.2132955,0.8999999999999995,-5.797656833515141,0.4277618909248382,2.0800747622317317
2025-08-31,3.1,3138.174787,282.2447321,-0.9999999999999996,-2.4034970691324986,-0.695045785918591,3.3941597643826427
2025-09-30,5.8,3184.123961,281.6472727,2.6999999999999997,1.453584681204667,-0.21190569062286002,3.8570817503371657
